book,chunk,text
2Co,79,εὐλογητός εἰς ὁ αἰών ὅτι οὐ ψεύδομαι ἐν δαμασκός ὁ ἐθνάρχης ἁρέτας ὁ βασιλεύς φρουρέω ὁ ⸂πόλις Δαμασκηνῶν⸃ πιάζω ⸀με καί διά θυρίς ἐν σαργάνη χαλάω διά ὁ τεῖχος καί ἐκφεύγω ὁ χείρ αὐτός καυχάομαι ⸀δεῖ · οὐ ⸂συμφέρω μέν⸃ ἔρχομαι ⸀δέ εἰς ὀπτασία καί ἀποκάλυψις κύριος οἶδα ἄνθρωπος ἐν
2Co,80,χριστός πρό ἔτος δεκατέσσαρες — εἴτε ἐν σῶμα οὐ οἶδα εἴτε ἐκτός ὁ σῶμα οὐ οἶδα ὁ θεός οἶδα — ἁρπάζω ὁ τοιοῦτος ἕως τρίτος οὐρανός καί οἶδα ὁ τοιοῦτος ἄνθρωπος — εἴτε ἐν σῶμα εἴτε ⸀χωρίς ὁ σῶμα οὐ οἶδα ὁ θεός οἶδα — ὅτι ἁρπάζω εἰς ὁ παράδεισος
2Co,81,καί ἀκούω ἄρρητος ῥῆμα ὅς οὐ ἔξεστι ἄνθρωπος λαλέω ὑπέρ ὁ τοιοῦτος καυχάομαι ὑπέρ δέ ἐμαυτοῦ οὐ καυχάομαι εἰ μή ἐν ὁ ⸀ἀσθενεία ἐάν γάρ ἐθέλω καυχάομαι οὐ εἰμί ἄφρων ἀλήθεια γάρ λέγω · φείδομαι δέ μή τις εἰς ἐγώ λογίζομαι ὑπέρ ὅς βλέπω ἐγώ ἤ ἀκούω ⸀τι ἐκ ἐγώ
2Co,82,καί ὁ ὑπερβολή ὁ ἀποκάλυψις ⸀διό ἵνα μή ὑπεραίρω δίδωμι ἐγώ σκόλοψ ὁ σάρξ ἄγγελος ⸀Σατανᾶ ἵνα ἐγώ κολαφίζω ⸂ἵνα μή ὑπεραίρωμαι⸃. ὑπέρ οὗτος τρίς ὁ κύριος παρακαλέω ἵνα ἀφίστημι ἀπ ’ ἐγώ · καί λέγω ἐγώ · ἀρκέω σύ ὁ χάρις ἐγώ · ὁ γάρ ⸀δύναμις ἐν ἀσθένεια ⸀τελέω
2Co,83,ἡδέως οὖν μᾶλλον καυχάομαι ἐν ὁ ἀσθένεια ⸀μου ἵνα ἐπισκηνόω ἐπί ἐγώ ὁ δύναμις ὁ χριστός διό εὐδοκέω ἐν ἀσθένεια ἐν ὕβρις ἐν ἀνάγκη ἐν διωγμός ⸀καί στενοχωρία ὑπέρ χριστός · ὅταν γάρ ἀσθενέω τότε δυνατός εἰμί γίγνομαι ⸀ἄφρων · σύ ἐγώ ἀναγκάζω · ἐγώ γάρ ὀφείλω ὑπό σύ συνίστημι
2Co,84,οὐδείς γάρ ὑστερέω ὁ ὑπερλίαν ἀπόστολος εἰ καί οὐδείς εἰμί · ὁ μέν σημεῖον ὁ ἀπόστολος κατεργάζομαι ἐν σύ ἐν πᾶς ⸀ὑπομονῇ σημεῖον ⸀τε καί τέρας καί δύναμις τίς γάρ εἰμί ὅς ⸀ἡττάομαι ὑπέρ ὁ λοιπός ἐκκλησία εἰ μή ὅτι αὐτός ἐγώ οὐ καταναρκάω ὑμεῖς χαρίζομαι ἐγώ ὁ ἀδικία οὗτος
2Co,85,ἰδού τρίτος οὗ⸀τος ἑτοῖμος ἔχω ἔρχομαι πρός ὑμεῖς καί οὐ ⸀καταναρκέω · οὐ γάρ ζητέω ὁ σύ ἀλλά ὑμεῖς οὐ γάρ ὀφείλω ὁ τέκνον ὁ γονεύς θησαυρίζω ἀλλά ὁ γονεύς ὁ τέκνον ἐγώ δέ ἡδέως δαπανάω καί ἐκδαπανάω ὑπέρ ὁ ψυχή ὑμεῖς ⸀εἰ περισσῶς ὑμεῖς ⸀ἀγαπάω ἥσσων ἀγαπάω εἰμί δέ
2Co,86,ἐγώ οὐ καταβαρέω ὑμεῖς · ἀλλά ὑπάρχω πανοῦργος δόλος ὑμεῖς λαμβάνω μή τις ὅς ἀποστέλλω πρός σύ διὰ αὐτός πλεονεκτέω ὑμεῖς παρακαλέω τίτος καί συναποστέλλω ὁ ἀδελφός · μήτι πλεονεκτέω ὑμεῖς τίτος οὐ ὁ αὐτός πνεῦμα περιπατέω οὐ ὁ αὐτός ἴχνος ⸀Πάλαι δοκέω ὅτι σύ ἀπολογέομαι ⸀κατέναντι θεός ἐν χριστός
2Co,87,λαλέω ὁ δέ πᾶς ἀγαπητός ὑπέρ ὁ ὑμεῖς οἰκοδομή φοβέω γάρ μή οὔπως ἔρχομαι οὐ οἷος ἐθέλω εὕρω σύ ἐκἀ ἐγὼ εὑρίσκω σύ οἷος οὐ ἐθέλω μή οὔπως ⸀ἔρις ⸀ζῆλος θυμός ἐριθεῖα καταλαλιή ψιθυρισμός φυσιώσεις ἀκαταστασία · μή πάλιν ⸂ἐλθόντος μου⸃ ⸀ταπεινώσῃ ⸀με ὁ θεός ἐγώ πρός ὑμεῖς καί πενθέω
2Co,88,πολύς ὁ προαμαρτάνω καί μή μετανοέω ἐπί ὁ ἀκαθαρσία καί πορνεία καί ἀσέλγεια ὅς πράσσω τρίτος οὗτος ἔρχομαι πρός σύ · ἐπί στόμα δύο μάρτυς καί τρεῖς ἵστημι πᾶς ῥῆμα προλέγω καί προλέγω ὡς πάρειμι ὁ δεύτερος καί ἄπειμι ⸀νῦν ὁ προαμαρτάνω καί ὁ λοιπός πᾶς ὅτι ἐάν ἔρχομαι εἰς
2Co,89,ὁ πάλιν οὐ φείδομαι ἐπεί δοκιμή ζητέω ὁ ἐν ἐγώ λαλέω χριστός · ὅς εἰς σύ οὐ ἀσθενέω ἀλλά δυνατέω ἐν σύ καί ⸀γάρ σταυρόω ἐκ ἀσθένεια ἀλλά ζῶ ἐκ δύναμις θεός καί γάρ ἐγώ ἀσθενέω ἐν αὐτός ἀλλά ⸀ζῶ σύν αὐτός ἐκ δύναμις θεός εἰς σύ ἑαυτοῦ πειράζω εἰ
2Co,90,εἰμί ἐν ὁ πίστις ἑαυτοῦ δοκιμάζω · ἤ οὐ ἐπιγιγνώσκω ἑαυτοῦ ὅτι ⸂Ἰησοῦς Χριστὸς⸃ ἐν ⸀ὑμεῖς εἰ μήτι ἀδόκιμος εἰμί ἐλπίζω δέ ὅτι γιγνώσκω ὅτι ἐγώ οὐ εἰμί ἀδόκιμος ⸀εὔχομαι δέ πρός ὁ θεός μή ποιέω σύ κακός μηδείς οὐ ἵνα ἐγώ δόκιμος φαίνω άλλὰ ἵνα σύ ὁ καλός ποιέω
2Co,91,ἐγώ δέ ὡς ἀδόκιμος εἰμί οὐ γάρ δύναμαι τις κατά ὁ ἀλήθεια ἀλλά ὑπέρ ὁ ἀλήθεια χαίρω γάρ ὅταν ἐγώ ἀσθενέω ὑμεῖς δέ δυνατός εἰμί · οὗ⸀τος καί εὔχομαι ὁ ὑμεῖς κατάρτισις διά οὗτος οὗτος ἄπειμι γράφω ἵνα πάρειμι μή ἀποτόμως χράω κατά ὁ ἐξουσία ὅς ⸂ὁ κύριος δίδωμι μοι⸃
2Co,92,εἰς οἰκοδομή καί οὐ εἰς καθαίρεσις λοιπός ἀδελφός χαίρω καταρτίζω παρακαλέω ὁ αὐτός φρονέω εἰρηνεύω καί ὁ θεός ὁ ἀγάπη καί εἰρήνη εἰμί μετά ὑμεῖς ἀσπάζομαι ἀλλήλων ἐν ἅγιος φίλημα ἀσπάζομαι ὑμεῖς ὁ ἅγιος πᾶς ὁ χάρις ὁ κύριος ἰησοῦς χριστός καί ὁ ἀγάπη ὁ θεός καί ὁ κοινωνία ὁ
2Co,93,ἅγιος πνεῦμα μετά πᾶς ⸀ὑμεῖς
Php,1,παῦλος καί τιμόθεος δοῦλος ⸂Χριστός Ἰησοῦ⸃ς πᾶς ὁ ἅγιος ἐν χριστός ἰησοῦς ὁ εἰμί ἐν φίλιπποι σύν ἐπίσκοπος καί διάκονος · χάρις ὑμεῖς καί εἰρήνη ἀπό θεός πατήρ ἡμεῖς καί κύριος ἰησοῦς χριστός εὐχαριστέω ὁ θεός ἐγώ ἐπί πᾶς ὁ μνεία ὑμεῖς πάντοτε ἐν πᾶς δέησις ἐγώ ὑπέρ πᾶς ὑμεῖς
Php,2,μετά χαρά ὁ δέησις ποιέω ἐπί ὁ κοινωνία ὑμεῖς εἰς ὁ εὐαγγέλιον ἀπό ⸀τῆς πρῶτος ἡμέρα ἄχρι ὁ νῦν πείθω αὐτός οὗτος ὅτι ὁ ἐνάρχομαι ἐν ὑμεῖς ἔργον ἀγαθός ἐπιτελέω ἄχρι ἡμέρα ⸂Χριστός Ἰησοῦ⸃ς · καθώς εἰμί δίκαιος ἐγώ οὗτος φρονέω ὑπέρ πᾶς ὑμεῖς διά ὁ ἔχω ἐγώ ἐν ὁ
Php,3,καρδία ὑμεῖς ἐν τε ὁ δεσμός ἐγώ καί ἐν ὁ ἀπολογία καί βεβαίωσις ὁ εὐαγγέλιον συγκοινωνούς ἐγώ ὁ χάρις πᾶς ὑμεῖς εἰμί · μάρτυς γάρ ⸀μου ὁ θεός ὡς ἐπιποθέω πᾶς ὑμεῖς ἐν σπλάγχνον ⸂Χριστός Ἰησοῦ⸃. καί οὗτος προσεύχομαι ἵνα ὁ ἀγάπη ὑμεῖς ἔτι μᾶλλον καί μᾶλλον περισσεύω ἐν ἐπίγνωσις
Php,4,καί πᾶς αἴσθησις εἰς ὁ δοκιμάζω ὑμεῖς ὁ διαφέρω ἵνα εἰμί εἰλικρινής καί ἀπρόσκοπος εἰς ἡμέρα χριστός πληρόω ⸂καρπός δικαιοσύνη τὸν⸃ διά ἰησοῦς χριστός εἰς δόξα καί ἔπαινος θεός γιγνώσκω δέ ὑμεῖς βούλομαι ἀδελφός ὅτι ὁ κατά ἐγώ μᾶλλον εἰς προκοπή ὁ εὐαγγέλιον ἔρχομαι ὥστε ὁ δεσμός ἐγώ φανερός ἐν
Php,5,χριστός γίγνομαι ἐν ὅλος ὁ πραιτώριον καί ὁ λοιπός πᾶς καί ὁ πολύς ὁ ἀδελφός ἐν κύριος πείθω ὁ δεσμός ἐγώ περισσῶς τολμάω ἀφόβως ὁ ⸀λόγος λαλέω τις μέν καί διά φθόνος καί ἔρις τις δέ καί διὰ εὐδοκία ὁ χριστός κηρύσσω · ὁ μέν ἐκ ⸂ἀγάπη οἶδα ὅτι εἰς
Php,6,ἀπολογία ὁ εὐαγγέλιον κεῖμαι⸃ ὁ δέ ἐκ ⸂ἐριθεία ὁ χριστός καταγγέλλω οὐ ἁγνῶς οἴομαι θλῖψις ἐγείρω ὁ δεσμός μου⸃. τίς γάρ πλήν ⸀ὅτι πᾶς τρόπος εἴτε πρόφασις εἴτε ἀλήθεια χριστός καταγγέλλω καί ἐν οὗτος χαίρω · ἀλλά καί χαίρω οἶδα γάρ ὅτι οὗτος ἐγώ ἀποβαίνω εἰς σωτηρία διά ὁ ὑμεῖς
Php,7,δέησις καί ἐπιχορηγία ὁ πνεῦμα ἰησοῦς χριστός κατά ὁ ἀποκαραδοκία καί ἐλπίς ἐγώ ὅτι ἐν οὐδείς αἰσχύνω άλλὰ ἐν πᾶς παρρησία ὡς πάντοτε καί νῦν μεγαλύνω χριστός ἐν ὁ σῶμα ἐγώ εἴτε διά ζωή εἴτε διά θάνατος ἐγώ γάρ ὁ ζῶ χριστός καί ὁ ἀποθνῄσκω κέρδος εἰ δέ ὁ ζῶ
Php,8,ἐν σάρξ οὗτος ἐγώ καρπός ἔργον — καί τίς αἱρέω οὐ γνωρίζω · συνέχω δέ ἐκ ὁ δύο ὁ ἐπιθυμία ἔχω εἰς ὁ ἀναλύω καί σύν χριστός εἰμί πολύς ⸀γάρ μᾶλλον κρείσσων ὁ δέ ἐπιμένω ⸀ἐν ὁ σάρξ ἀναγκαῖος διὰ ὑμεῖς καί οὗτος πείθω οἶδα ὅτι μένω καί ⸀παραμενῶ πᾶς
Php,9,σύ εἰς ὁ ὑμεῖς προκοπή καί χαρά ὁ πίστις ἵνα ὁ καύχημα ὑμεῖς περισσεύω ἐν χριστός ἰησοῦς ἐν ἐγώ διά ὁ ἐμός παρουσία πάλιν πρός ὑμεῖς μόνος ἀξίως ὁ εὐαγγέλιον ὁ χριστός πολιτεύομαι ἵνα εἴτε ἔρχομαι καί εἶδον ὑμεῖς εἴτε ἄπειμι ⸀ἀκούω ὁ περί ὑμεῖς ὅτι στήκω ἐν εἷς πνεῦμα
Php,10,εἷς ψυχή συναθλέω ὁ πίστις ὁ εὐαγγέλιον καί μή πτύρω ἐν μηδείς ὑπό ὁ ἀντίκειμαι ὅστις ⸂ἐστὶν αὐτοῖς⸃ ἔνδειξις ἀπώλεια ⸀ὑμεῖς δέ σωτηρία καί οὗτος ἀπό θεός ὅτι ὑμεῖς χαρίζομαι ὁ ὑπέρ χριστός οὐ μόνος ὁ εἰς αὐτός πιστεύω ἀλλά καί ὁ ὑπέρ αὐτός πάσχω ὁ αὐτός ἀγών ἔχω οἷος
Php,11,ὁράω ἐν ἐγώ καί νῦν ἀκούω ἐν ἐγώ εἰ τις οὖν παράκλησις ἐν χριστός εἰ τὶς παραμύθιον ἀγάπη εἰ τις κοινωνία πνεῦμα εἰ τίς σπλάγχνον καί οἰκτιρμός πληρόω ἐγώ ὁ χαρά ἵνα ὁ αὐτός φρονέω ὁ αὐτός ἀγάπη ἔχω σύμψυχος ὁ εἷς φρονέω μηδείς κατά ἐριθεία ⸂μηδέ κατὰ⸃ κενοδοξία ἀλλά
Php,12,ὁ ταπεινοφροσύνη ἀλλήλων ἡγέομαι ὑπερέχω ἑαυτοῦ μή ὁ ἑαυτοῦ ⸀ἕκαστος ⸀σκοπέω ἀλλά καί ὁ ἕτερος ⸁ἕκαστος οὗτος ⸀φρονέω ἐν σύ ὅς καί ἐν χριστός ἰησοῦς ὅς ἐν μορφή θεός ὑπάρχω οὐ ἁρπαγμός ἡγέομαι ὁ εἰμί ἴσος θεός ἀλλά ἑαυτοῦ κενόω μορφή δοῦλος λαμβάνω ἐν ὁμοίωμα ἄνθρωπος γίγνομαι · καί σχῆμα
Php,13,εὑρίσκω ὡς ἄνθρωπος ταπεινόω ἑαυτοῦ γίγνομαι ὑπήκοος μέχρι θάνατος θάνατος δέ σταυρός · διό καί ὁ θεός αὐτός ὑπερυψόω καί χαρίζω αὐτός ⸀τό ὄνομα ὁ ὑπέρ πᾶς ὄνομα ἵνα ἐν ὁ ὄνομα ἰησοῦς πᾶς γόνυ κάμπτω ἐπουράνιος καί ἐπίγειος καί καταχθόνιος καί πᾶς γλῶσσα ἐξομολογέω ὅτι κύριος ἰησοῦς χριστός εἰς
Php,14,δόξα θεός πατήρ ὥστε ἀγαπητός ἐγώ καθώς πάντοτε ὑπακούω μή ὡς ἐν ὁ παρουσία ἐγώ μόνος ἀλλά νῦν πολύς μᾶλλον ἐν ὁ ἀπουσία ἐγώ μετά φόβος καί τρόμος ὁ ἑαυτοῦ σωτηρία κατεργάζομαι ⸀θεός γάρ εἰμί ὁ ἐνεργέω ἐν ὑμεῖς καί ὁ ἐθέλω καί ὁ ἐνεργέω ὑπέρ ὁ εὐδοκία πᾶς ποιέω
Php,15,χωρίς γογγυσμός καί διαλογισμός ἵνα γίγνομαι ἄμεμπτος καί ἀκέραιος τέκνον θεός ⸂ἄμωμος μέσον⸃ γενεά σκολιός καί διαστρέφω ἐν ὅς φαίνω ὡς φωστήρ ἐν κόσμος λόγος ζωή ἐπέχω εἰς καύχημα ἐγώ εἰς ἡμέρα χριστός ὅτι οὐ εἰς κενός τρέχω οὐδέ εἰς κενός κοπιάω ἀλλά εἰ καί σπένδω ἐπί ὁ θυσία καί
Php,16,λειτουργία ὁ πίστις ὑμεῖς χαίρω καί συγχαίρω πᾶς σύ · ὁ δέ αὐτός καί ὑμεῖς χαίρω καί συγχαίρετέ ἐγώ ἐλπίζω δέ ἐν κύριος ἰησοῦς τιμόθεος ταχέως πέμπω σύ ἵνα ἐκἀ ἐγὼ εὐψυχέω γιγνώσκω ὁ περί ὑμεῖς οὐδείς γάρ ἔχω ἰσόψυχος ὅστις γνήσιος ὁ περί ὑμεῖς μεριμνάω ὁ πᾶς γάρ ὁ
Php,17,ἑαυτοῦ ζητέω οὐ ὁ ⸂Ἰησοῦς Χριστοῦ⸃. ὁ δέ δοκιμή αὐτός γιγνώσκω ὅτι ὡς πατήρ τέκνον σύν ἐγώ δουλεύω εἰς ὁ εὐαγγέλιον οὗτος μέν οὖν ἐλπίζω πέμπω ὡς ἄν ἀφοράω ὁ περί ἐγώ ἐξαυτῆς · πείθω δέ ἐν κύριος ὅτι καί αὐτός ταχέως ἔρχομαι ἀναγκαῖος δέ ἡγέομαι ἐπαφρόδιτος ὁ ἀδελφός καί
Php,18,συνεργός καί συστρατιώτας ἐγώ ὑμεῖς δέ ἀπόστολος καί λειτουργός ὁ χρεία ἐγώ πέμπω πρός ὑμεῖς ἐπεί ἐπιποθέω εἰμί πᾶς ⸀ὑμεῖς καί ἀδημονέω διότι ἀκούω ὅτι ἀσθενέω καί γάρ ἀσθενέω παραπλήσιος ⸀θάνατος · ἀλλά ὁ θεός ⸂ἠλέησεν αὐτόν⸃ οὐ αὐτός δέ μόνος ἀλλά καί ἐγώ ἵνα μή λύπη ἐπί λύπη ἔχω
Php,19,σπουδαίως οὖν πέμπω αὐτός ἵνα εἶδον αὐτός πάλιν χαίρω ἐκἀ γώ ἄλυπος εἰμί προσδέχομαι οὖν αὐτός ἐν κύριος μετά πᾶς χαρά καί ὁ τοιοῦτος ἔντιμος ἔχω ὅτι διά ὁ ἔργον ⸀Χριστός μέχρι θάνατος ἐγγίζω ⸀παραβολεύομαι ὁ ψυχή ἵνα ἀναπληρόω ὁ ὑμεῖς ὑστέρημα ὁ πρός ἐγώ λειτουργία ὁ λοιπός ἀδελφός ἐγώ
Php,20,χαίρω ἐν κύριος ὁ αὐτός γράφω ὑμεῖς ἐγώ μέν οὐ ὀκνηρός ὑμεῖς δέ ἀσφαλής βλέπω ὁ κύων βλέπω ὁ κακός ἐργάτης βλέπω ὁ κατατομή ἐγώ γάρ εἰμί ὁ περιτομή ὁ πνεῦμα θεός λατρεύω καί καυχάομαι ἐν χριστός ἰησοῦς καί οὐ ἐν σάρξ πείθω καίπερ ἐγώ ἔχω πεποίθησις καί ἐν σάρξ
Php,21,εἰ τις δοκέω ἄλλος πείθω ἐν σάρξ ἐγώ μᾶλλον · περιτομή ὀκταήμερος ἐκ γένος ἰσραήλ φυλή Βενιαμίν Ἑβραῖος ἐκ Ἑβραῖος κατά νόμος φαρισαῖος κατά ⸀ζῆλος διώκω ὁ ἐκκλησία κατά δικαιοσύνη ὁ ἐν νόμος γίγνομαι ἄμεμπτος ἀλλά ὅστις εἰμί ἐγώ κέρδος οὗτος ἡγέομαι διά ὁ χριστός ζημία ἀλλά ⸀μενοῦνγε καί ἡγέομαι
Php,22,πᾶς ζημία εἰμί διά ὁ ὑπερέχω ὁ γνῶσις χριστός ἰησοῦς ὁ κύριος ἐγώ διὰ ὅς ὁ πᾶς ζημιόω καί ἡγέομαι ⸀σκύβαλον ἵνα χριστός κερδαίνω καί εὑρίσκω ἐν αὐτός μή ἔχω ἐμός δικαιοσύνη ὁ ἐκ νόμος ἀλλά ὁ διά πίστις χριστός ὁ ἐκ θεός δικαιοσύνη ἐπί ὁ πίστις ὁ γιγνώσκω αὐτός
Php,23,καί ὁ δύναμις ὁ ἀνάστασις αὐτός καί ⸀κοινωνία πάθημα αὐτός ⸀συμμορφίζω ὁ θάνατος αὐτός εἰ οὔπως καταντάω εἰς ὁ ἐξανάστασις ⸂τὴν ἐκ⸃ νεκρός οὐ ὅτι ἤδη λαμβάνω ἤ ἤδη τελειόω διώκω δέ εἰ καί καταλαμβάνω ἐφ ά ὅς καί καταλαμβάνω ὑπό ⸀Χριστοῦ ἀδελφός ἐγώ ἐμαυτοῦ ⸀οὐ λογίζομαι καταλαμβάνω · εἷς
Php,24,δέ ὁ μέν ὀπίσω ἐπιλανθάνομαι ὁ δέ ἔμπροσθεν ἐπεκτείνομαι κατά σκοπός διώκω ⸀εἰς ὁ βραβεῖον ὁ ἄνω κλῆσις ὁ θεός ἐν χριστός ἰησοῦς ὅσος οὖν τέλειος οὗτος φρονέω · καί εἰ τις ἑτέρως φρονέω καί οὗτος ὁ θεός σύ ἀποκαλύπτω · πλήν εἰς ὅς φθάνω ὁ αὐτός ⸀στοιχέω Συμμιμητής ἐγώ
Php,25,γίγνομαι ἀδελφός καί σκοπέω ὁ οὕτω(ς) περιπατέω καθώς ἔχω τύπος ἐγώ · πολύς γάρ περιπατέω ὅς πολλάκις λέγω ὑμεῖς νῦν δέ καί κλαίω λέγω ὁ ἐχθρός ὁ σταυρός ὁ χριστός ὅς ὁ τέλος ἀπώλεια ὅς ὁ θεός ὁ κοιλία καί ὁ δόξα ἐν ὁ αἰσχύνη αὐτός ὁ ὁ ἐπίγειος φρονέω
Php,26,ἐγώ γάρ ὁ πολίτευμα ἐν οὐρανός ὑπάρχω ἐκ ὅς καί σωτήρ ἀπεκδέχομαι κύριος ἰησοῦς χριστός ὅς μετασχηματίζω ὁ σῶμα ὁ ταπείνωσις ⸀ἡμεῖς σύμμορφος ὁ σῶμα ὁ δόξα αὐτός κατά ὁ ἐνέργεια ὁ δύναμαι αὐτός καί ὑποτάσσω ⸀αὑτός ὁ πᾶς ὥστε ἀδελφός ἐγώ ἀγαπητός καί ἐπιπόθητος χαρά καί στέφανος ἐγώ οὕτω(ς)
Php,27,στήκω ἐν κύριος ἀγαπητός εὐοδία παρακαλέω καί συντύχη παρακαλέω ὁ αὐτός φρονέω ἐν κύριος ναί ἐρωτάω καί σύ ⸂γνήσιος σύζυγε⸃ συλλαμβάνω αὐτός ὅστις ἐν ὁ εὐαγγέλιον συναθλέω ἐγώ μετά καί κλήμης καί ὁ λοιπός συνεργός ἐγώ ὅς ὁ ὄνομα ἐν βίβλος ζωή χαίρω ἐν κύριος πάντοτε · πάλιν λέγω χαίρω
Php,28,ὁ ἐπιεικής ὑμεῖς γιγνώσκω πᾶς ἄνθρωπος ὁ κύριος ἐγγύς · μηδείς μεριμνάω άλλὰ ἐν πᾶς ὁ προσευχή καί ὁ δέησις μετά εὐχαριστία ὁ αἴτημα ὑμεῖς γνωρίζω πρός ὁ θεός · καί ὁ εἰρήνη ὁ θεός ὁ ὑπερέχω πᾶς νόος φρουρέω ὁ καρδία ὑμεῖς καί ὁ νόημα ὑμεῖς ἐν χριστός ἰησοῦς
Php,29,ὁ λοιπός ἀδελφός ὅσος εἰμί ἀληθής ὅσος σεμνός ὅσος δίκαιος ὅσος ἁγνός ὅσος προσφιλής ὅσος εὔφημος εἰ τις ἀρετή καί εἰ τις ἔπαινος οὗτος λογίζομαι · ὅς καί μανθάνω καί παραλαμβάνω καί ἀκούω καί ὁράω ἐν ἐγώ οὗτος πράσσω · καί ὁ θεός ὁ εἰρήνη εἰμί μετά ὑμεῖς χαίρω δέ
Php,30,ἐν κύριος μεγάλως ὅτι ἤδη ποτε ἀναθάλλω ὁ ὑπέρ ἐγώ φρονέω ἐφ ά ὅς καί φρονέω ἀκαιρέομαι δέ οὐ ὅτι κατά ὑστέρησις λέγω ἐγώ γάρ μανθάνω ἐν ὅς εἰμί αὐτάρκης εἰμί · οἶδα καί ταπεινόω οἶδα καί περισσεύω · ἐν πᾶς καί ἐν πᾶς μυέω καί χορτάζω καί πεινάω καί
Php,31,περισσεύω καί ὑστερέω · πᾶς ἰσχύω ἐν ὁ ἐνδυναμόω ⸀με πλήν καλός ποιέω συγκοινωνήσαντές ἐγώ ὁ θλῖψις οἶδα δέ καί σύ φιλιππήσιος ὅτι ἐν ἀρχή ὁ εὐαγγέλιον ὅτε ἐξέρχομαι ἀπό μακεδονία οὐδείς ἐγώ ἐκκλησία κοινωνέω εἰς λόγος δόσις καί λῆμψις εἰ μή ὑμεῖς μόνος ὅτι καί ἐν θεσσαλονίκη καί ἅπαξ
Php,32,καί δίς εἰς ὁ χρεία ἐγώ πέμπω οὐ ὅτι ἐπιζητέω ὁ δόμα ἀλλά ἐπιζητέω ὁ καρπός ὁ πλεονάζω εἰς λόγος ὑμεῖς ἀπέχω δέ πᾶς καί περισσεύω · πληρόω δέχομαι παρά ἐπαφρόδιτος ὁ παρά ὑμεῖς ὀσμή εὐωδία θυσία δεκτός εὐάρεστος ὁ θεός ὁ δέ θεός ἐγώ πληρόω πᾶς χρεία ὑμεῖς κατά
Php,33,⸂τὸ πλοῦτος⸃ αὐτός ἐν δόξα ἐν χριστός ἰησοῦς ὁ δέ θεός καί πατήρ ἡμεῖς ὁ δόξα εἰς ὁ αἰών ὁ αἰών · ἀμήν ἀσπάζομαι πᾶς ἅγιος ἐν χριστός ἰησοῦς ἀσπάζομαι ὑμεῖς ὁ σύν ἐγώ ἀδελφός ἀσπάζομαι ὑμεῖς πᾶς ὁ ἅγιος μάλιστα δέ ὁ ἐκ ὁ καῖσαρ οἰκία ὁ χάρις ὁ
Php,34,κύριος ἰησοῦς χριστός μετά ⸂τοῦ πνεύματος⸃ ⸀ὑμεῖς
Col,1,παῦλος ἀπόστολος ⸂Χριστός Ἰησοῦ⸃ διά θέλημα θεός καί τιμόθεος ὁ ἀδελφός ὁ ἐν ⸀Κολοσσαί ἅγιος καί πιστός ἀδελφός ἐν χριστός · χάρις ὑμεῖς καί εἰρήνη ἀπό θεός πατήρ ⸀ἡμεῖς εὐχαριστέω ὁ ⸀θεός πατήρ ὁ κύριος ἡμεῖς ἰησοῦς χριστός πάντοτε ⸀περί ὑμεῖς προσεύχομαι ἀκούω ὁ πίστις ὑμεῖς ἐν χριστός ἰησοῦς καί
Col,2,ὁ ἀγάπη ⸂ἣν ἔχετε⸃ εἰς πᾶς ὁ ἅγιος διά ὁ ἐλπίς ὁ ἀπόκειμαι ὑμεῖς ἐν ὁ οὐρανός ὅς προακούω ἐν ὁ λόγος ὁ ἀλήθεια ὁ εὐαγγέλιον ὁ πάρειμι εἰς ὑμεῖς καθώς καί ἐν πᾶς ὁ ⸀κόσμος εἰμί καρποφορέω καί αὐξάνω καθώς καί ἐν ὑμεῖς ἀπό ὅς ἡμέρα ἀκούω καί ἐπιγιγνώσκω
Col,3,ὁ χάρις ὁ θεός ἐν ἀλήθεια · ⸀καθὼς μανθάνω ἀπό ἐπαφρᾶς ὁ ἀγαπητός σύνδουλος ἡμεῖς ὅς εἰμί πιστός ὑπέρ ⸀ἡμεῖς διάκονος ὁ χριστός ὁ καί δηλόω ἡμεῖς ὁ ὑμεῖς ἀγάπη ἐν πνεῦμα διά οὗτος καί ἡμεῖς ἀπό ὅς ἡμέρα ἀκούω οὐ παύω ὑπέρ ὑμεῖς προσεύχομαι καί αἰτέω ἵνα πληρόω ὁ
Col,4,ἐπίγνωσις ὁ θέλημα αὐτός ἐν πᾶς σοφία καί σύνεσις πνευματικός ⸀περιπατέω ἀξίως ὁ κύριος εἰς πᾶς ἀρεσκεία ἐν πᾶς ἔργον ἀγαθός καρποφορέω καί αὐξάνω ⸂τῇ ἐπιγνώσει⸃ ὁ θεός ἐν πᾶς δύναμις δυναμόω κατά ὁ κράτος ὁ δόξα αὐτός εἰς πᾶς ὑπομονή καί μακροθυμία μετά χαρά εὐχαριστέω ὁ πατήρ ὁ ἱκανόω
